delta,hol_mse,true_norm,pred_norm,cosine,model,world
0.05,3.4968869044860185e-07,0.0016542896628379822,0.001503488514572382,0.9331811666488647,holonomy_connection,nonlinear
0.1,5.626529855362605e-06,0.006501383148133755,0.0060406276024878025,0.9405909180641174,holonomy_connection,nonlinear
0.2,9.602931095287204e-05,0.02863376960158348,0.026039239019155502,0.9324954152107239,holonomy_connection,nonlinear
0.4,0.0014533099019899964,0.11365078389644623,0.10997393727302551,0.955145537853241,holonomy_connection,nonlinear
0.8,0.02406439371407032,0.5227852463722229,0.5725995898246765,0.9648067355155945,holonomy_connection,nonlinear
