delta,hol_mse,true_norm,pred_norm,cosine,model,world
0.05,1.7688561229078914e-06,0.0016542896628379822,0.00024461917928420007,0.5225729942321777,flat_pifm,nonlinear
0.1,2.8062813726137392e-05,0.006501383148133755,0.0009979866445064545,0.5724883079528809,flat_pifm,nonlinear
0.2,0.000555346836335957,0.02863376960158348,0.0041823843494057655,0.4869524836540222,flat_pifm,nonlinear
0.4,0.009077509865164757,0.11365078389644623,0.01983550377190113,0.5099557042121887,flat_pifm,nonlinear
0.8,0.1725938469171524,0.5227852463722229,0.09579665213823318,0.3761214017868042,flat_pifm,nonlinear
