model,run_dir,step,local_mse,ab_ba_endpoint_mse,ab_ba_comm_mse,ab_ba_comm_true_norm,ab_ba_comm_pred_norm,ab_ba_comm_cosine,id_hol_mse,id_hol_true_norm,id_hol_pred_norm,id_hol_cosine,ood_ab_ba_endpoint_mse,ood_ab_ba_comm_mse,flatness_norm2,local_loss,cycle_loss,flat_loss,loss,random_endpoint_mse,id_false_identity_mse,ood_ab_ba_comm_true_norm,ood_ab_ba_comm_pred_norm,ood_ab_ba_comm_cosine,ood_hol_mse,ood_hol_true_norm,ood_hol_pred_norm,ood_hol_cosine,ood_false_identity_mse,rollout_loss,holonomy_loss
flat_pifm,runs/initial_100_commute/flat_pifm,80.0,0.0001748348149703,0.0001769300433807,4.409195639709651e-07,0.0,0.0007811455288901,0.0,5.980965624985402e-07,1.3369830575982178e-08,0.000885265180841,0.0001936971530085,0.0016482636565342,7.652333806618117e-06,8.441144018433988e-05,0.0003308267041575,1.618497003086361e-15,0.0001606350269867,0.0003709854499902,0.000412309076637,1.1961972177232385e-06,0.0,0.0035317779984325,0.0,8.368000635528006e-06,2.8867564338952437e-08,0.0035716113634407,0.0019273208454251,1.6736039469833486e-05,,
holonomy_connection,runs/initial_100_commute/holonomy_connection,80.0,0.0001731528027448,0.0001369876263197,4.316364083933877e-06,0.0,0.0024089566431939,0.0,5.342259100871161e-06,1.4695812566856148e-08,0.0024886343162506,0.0003009799984283,0.00148227927275,6.651838339166716e-05,0.0006079826271161,0.0002324716479051,2.085137618124122e-15,,0.0003819764824584,0.0004014043079223,1.068452274921583e-05,0.0,0.0110738612711429,0.0,6.669071444775909e-05,3.161239447990738e-08,0.0109213199466466,0.000962852500379,0.0001333814434474,0.0001421233173459,7.381503564829472e-06
local_connection,runs/initial_100_commute/local_connection,80.0,0.0001967340358532,0.0001327088684774,1.010775758913951e-05,0.0,0.0033979089930653,0.0,1.065964715962764e-05,1.3220647687717246e-08,0.00325314165093,-6.391228816937655e-05,0.0010504134697839,0.0001987487194128,0.0009072645334526,0.0002494867076165,1.9949319973733278e-15,,0.0003535744617693,0.0004507821286097,2.131929431925528e-05,0.0,0.0167724806815385,0.0,0.000243529852014,3.0248031634982915e-08,0.0182187557220459,-0.0051406784914433,0.0004870595585089,0.0001040877468767,
shared_cfm,runs/initial_100_commute/shared_cfm,80.0,0.0001860731426859,0.000123583653476,1.2569831596920268e-05,0.0,0.0039207958616316,0.0,1.9773618987528607e-05,1.678656325054817e-08,0.0044958153739571,-0.0009158214670605,0.0011393100721761,0.0002535468083806,0.000664924213197,0.0002655071439221,,,0.0002655071439221,0.00039505911991,3.954722342314199e-05,0.0,0.0196399502456188,0.0,0.0003334102220833,3.3244226926854026e-08,0.0214631557464599,0.0034475279971957,0.0006668205023743,,
