model,run_dir,step,local_mse,ab_ba_endpoint_mse,ab_ba_comm_mse,ab_ba_comm_true_norm,ab_ba_comm_pred_norm,ab_ba_comm_cosine,id_hol_mse,id_hol_true_norm,id_hol_pred_norm,id_hol_cosine,ood_ab_ba_endpoint_mse,ood_ab_ba_comm_mse,flatness_norm2,local_loss,cycle_loss,flat_loss,loss,random_endpoint_mse,id_false_identity_mse,ood_ab_ba_comm_true_norm,ood_ab_ba_comm_pred_norm,ood_ab_ba_comm_cosine,ood_hol_mse,ood_hol_true_norm,ood_hol_pred_norm,ood_hol_cosine,ood_false_identity_mse,rollout_loss,holonomy_loss
flat_pifm,runs/initial_100_all/flat_pifm,120.0,0.0287247970700263,0.011432072147727,0.0153104737401008,0.1292064934968948,0.0274456888437271,0.3896734714508056,0.0297817196696996,0.1704080551862716,0.0295064598321914,0.365766704082489,0.1518064439296722,0.2567251026630401,0.0375475622713565,0.061501920223236,5.323960022840524e-11,0.0377460792660713,0.0709384381771087,0.0513933934271335,0.0020405985414981,0.658435046672821,0.1364018321037292,0.2909146845340729,0.2890016734600067,0.6718546748161316,0.1507722437381744,0.3237125873565674,0.0388490855693817,,
holonomy_connection,runs/initial_100_all/holonomy_connection,120.0,0.0165556482970714,0.0045658145099878,0.0018857225077226,0.1396469622850418,0.1407477557659149,0.9563744068145752,0.0038691656664013,0.1634670943021774,0.1622525304555893,0.9544281363487244,0.0798287168145179,0.042384423315525,0.4415135979652405,0.0437718741595745,5.3695794338670666e-11,,0.08836030960083,0.0332803316414356,0.0481517910957336,0.5843424201011658,0.6817938685417175,0.9428728222846984,0.0731479451060295,0.6938270926475525,0.8544023633003235,0.9133864641189576,0.8508030772209167,0.0361297652125358,0.0084586776793003
independent_cfm,runs/initial_100_all/independent_cfm,120.0,0.0353227406740188,0.0196875520050525,0.0208146907389163,0.1386949568986892,0.1886492222547531,0.5968198180198669,0.0312884151935577,0.16746586561203,0.211717814207077,0.596124529838562,0.2287739068269729,0.30379319190979,,0.0326952449977397,,,0.0326952449977397,0.041969496756792,0.0703283324837684,0.6125845909118652,0.8401272296905518,0.643071711063385,0.2190411984920501,0.6650267839431763,0.7405412197113037,0.7382372617721558,0.6375001668930054,,
local_connection,runs/initial_100_all/local_connection,120.0,0.0134566947817802,0.0059183021076023,0.0060693896375596,0.1345415711402893,0.1309463232755661,0.8736706376075745,0.0140882562845945,0.1793784350156784,0.1625155210494995,0.8884159922599792,0.0798676535487175,0.1012240499258041,0.3434183001518249,0.0263757761567831,1.3204257132137798e-10,,0.0468541793525218,0.0256404671818017,0.043749738484621,0.6468950510025024,0.645635724067688,0.87819904088974,0.1235735118389129,0.6787990927696228,0.6866080164909363,0.8882843852043152,0.5684092044830322,0.0204784031957387,
shared_cfm,runs/initial_100_all/shared_cfm,120.0,0.0182373076677322,0.0065334420651197,0.0110732987523078,0.1329307705163955,0.1258307248353958,0.6261084675788879,0.0244156699627637,0.1830481439828872,0.1616453230381012,0.6788250207901001,0.0840102136135101,0.1881970763206482,0.317647248506546,0.038657933473587,,,0.038657933473587,0.0370096825063228,0.046881079673767,0.6407870054244995,0.6713595986366272,0.6072964072227478,0.2498771697282791,0.676742672920227,0.6503098011016846,0.5828617811203003,0.5740644335746765,,
